postal_code,lat,lng
M9A0A3,38.6752399,-0.8099623
M9A0A4,38.6752399,-0.8099623
M9A0A5,37.6056575,-82.3243095
M9A0A6,37.6056575,-82.3243095
M9A0B2,37.6056575,-82.3243095
M9A0B5,37.6056575,-82.3243095
M9A1A3,37.6056575,-82.3243095
M9A1A4,37.6056575,-82.3243095
M9A1A6,37.6056575,-82.3243095
M9A1A7,37.6056575,-82.3243095
M9A1A9,43.6526355,-79.5257587
M9A1B2,43.6497026,-79.5275574
M9A1B3,37.6056575,-82.3243095
M9A1B5,43.6492326,-79.5286509
M9A1B6,43.6477384,-79.5293354
M9A1B7,37.6056575,-82.3243095
M9A1B8,43.646776,-79.5307897
M9A1B9,37.6056575,-82.3243095
M9A1C1,43.6443757,-79.5324744
M9A1C2,43.6444128,-79.5331393
M9A1C3,37.6056575,-82.3243095
M9A1C4,43.6430653,-79.5343007
M9A1C5,37.6056575,-82.3243095
M9A1C6,37.6056575,-82.3243095
M9A1C7,37.6056575,-82.3243095
M9A1C8,37.6056575,-82.3243095
M9A1C9,37.6056575,-82.3243095
M9A1E1,37.6056575,-82.3243095
M9A1E2,37.6056575,-82.3243095
M9A1E3,37.6056575,-82.3243095
M9A1E5,37.6056575,-82.3243095
M9A1E6,37.6056575,-82.3243095
M9A1E7,37.6056575,-82.3243095
M9A1E8,37.6056575,-82.3243095
M9A1E9,37.6056575,-82.3243095
M9A1G1,37.6056575,-82.3243095
M9A1G2,37.6056575,-82.3243095
M9A1G3,37.6056575,-82.3243095
M9A1G4,37.6056575,-82.3243095
M9A1G5,37.6056575,-82.3243095
M9A1G6,37.6056575,-82.3243095
M9A1G7,37.6056575,-82.3243095
M9A1G8,37.6056575,-82.3243095
M9A1H1,37.6056575,-82.3243095
M9A1H2,37.6056575,-82.3243095
M9A1H3,37.6056575,-82.3243095
M9A1H4,37.6056575,-82.3243095
M9A1H5,37.6056575,-82.3243095
M9A1H6,37.6056575,-82.3243095
M9A1H7,37.6056575,-82.3243095
M9A1H8,37.6056575,-82.3243095
M9A1H9,37.6056575,-82.3243095
M9A1J1,37.6056575,-82.3243095
M9A1J3,37.6056575,-82.3243095
M9A1J4,37.6056575,-82.3243095
M9A1J5,37.6056575,-82.3243095
M9A1J6,37.6056575,-82.3243095
M9A1J7,37.6056575,-82.3243095
M9A1J8,37.6056575,-82.3243095
M9A1J9,37.6056575,-82.3243095
M9A1K1,37.6056575,-82.3243095
M9A1K2,37.6056575,-82.3243095
M9A1K3,37.6056575,-82.3243095
M9A1K4,37.6056575,-82.3243095
M9A1K5,37.6056575,-82.3243095
M9A1K6,37.6056575,-82.3243095
M9A1K7,37.6056575,-82.3243095
M9A1K8,37.6056575,-82.3243095
M9A1K9,37.6056575,-82.3243095
M9A1L1,37.6056575,-82.3243095
M9A1L2,37.6056575,-82.3243095
M9A1L3,37.6056575,-82.3243095
M9A1L4,37.6056575,-82.3243095
M9A1L5,37.6056575,-82.3243095
M9A1L6,37.6056575,-82.3243095
M9A1L7,37.6056575,-82.3243095
M9A1L8,37.6056575,-82.3243095
M9A1L9,43.6383789,-79.5387868
M9A1M1,37.6056575,-82.3243095
M9A1M2,37.6056575,-82.3243095
M9A1M3,37.6056575,-82.3243095
M9A1M4,37.6056575,-82.3243095
M9A1M5,37.6056575,-82.3243095
M9A1M6,37.6056575,-82.3243095
M9A1M7,37.6056575,-82.3243095
M9A1M8,37.6056575,-82.3243095
M9A1M9,37.6056575,-82.3243095
M9A1N1,37.6056575,-82.3243095
M9A1N2,37.6056575,-82.3243095
M9A1N3,37.6056575,-82.3243095
M9A1N4,43.6576181,-79.5399292
M9A1N5,37.6056575,-82.3243095
M9A1N6,37.6056575,-82.3243095
M9A1N7,37.6056575,-82.3243095
M9A1N8,37.6056575,-82.3243095
M9A1N9,37.6056575,-82.3243095
M9A1P1,37.6056575,-82.3243095
M9A1P2,37.6056575,-82.3243095
M9A1P3,37.6056575,-82.3243095
M9A1P4,43.6599112,-79.5353224
M9A1P5,37.6056575,-82.3243095
M9A1P6,37.6056575,-82.3243095
M9A1P7,37.6056575,-82.3243095
M9A1P8,37.6056575,-82.3243095
M9A1P9,37.6056575,-82.3243095
M9A1R1,37.6056575,-82.3243095
M9A1R2,37.6056575,-82.3243095
M9A1R3,37.6056575,-82.3243095
M9A1R4,37.6056575,-82.3243095
M9A1R5,37.6056575,-82.3243095
M9A1R6,37.6056575,-82.3243095
M9A1R7,37.6056575,-82.3243095
M9A1R8,37.6056575,-82.3243095
M9A1R9,37.6056575,-82.3243095
M9A1S1,37.6056575,-82.3243095
M9A1S2,37.6056575,-82.3243095
M9A1S3,37.6056575,-82.3243095
M9A1S7,37.6056575,-82.3243095
M9A1S8,37.6056575,-82.3243095
M9A1S9,37.6056575,-82.3243095
M9A1T1,37.6056575,-82.3243095
M9A1T2,37.6056575,-82.3243095
M9A1T3,37.6056575,-82.3243095
M9A1T4,37.6056575,-82.3243095
M9A1T5,37.6056575,-82.3243095
M9A1T6,37.6056575,-82.3243095
M9A1T7,37.6056575,-82.3243095
M9A1T8,37.6056575,-82.3243095
M9A1T9,37.6056575,-82.3243095
M9A1V1,37.6056575,-82.3243095
M9A1V2,37.6056575,-82.3243095
M9A1V3,37.6056575,-82.3243095
M9A1V4,37.6056575,-82.3243095
M9A1V5,37.6056575,-82.3243095
M9A1V6,37.6056575,-82.3243095
M9A1V7,37.6056575,-82.3243095
M9A1V8,37.6056575,-82.3243095
M9A1V9,37.6056575,-82.3243095
M9A1W1,37.6056575,-82.3243095
M9A1W2,37.6056575,-82.3243095
M9A1W3,37.6056575,-82.3243095
M9A1W4,37.6056575,-82.3243095
M9A1W5,37.6056575,-82.3243095
M9A1W7,37.6056575,-82.3243095
M9A1W8,37.6056575,-82.3243095
M9A1W9,37.6056575,-82.3243095
M9A1X1,37.6056575,-82.3243095
M9A1X2,37.6056575,-82.3243095
M9A1X3,37.6056575,-82.3243095
M9A1X4,37.6056575,-82.3243095
M9A1X5,37.6056575,-82.3243095
M9A1X6,37.6056575,-82.3243095
M9A1X7,37.6056575,-82.3243095
M9A1X8,37.6056575,-82.3243095
M9A1X9,37.6056575,-82.3243095
M9A1Y1,37.6056575,-82.3243095
M9A1Y2,37.6056575,-82.3243095
M9A1Y3,37.6056575,-82.3243095
M9A1Y4,37.6056575,-82.3243095
M9A1Y5,37.6056575,-82.3243095
M9A1Y6,37.6056575,-82.3243095
M9A1Y8,37.6056575,-82.3243095
M9A1Y9,37.6056575,-82.3243095
M9A1Z1,37.6056575,-82.3243095
M9A1Z2,37.6056575,-82.3243095
M9A1Z3,37.6056575,-82.3243095
M9A1Z4,37.6056575,-82.3243095
